                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9511,                 2.3169,                 1.5827,                0.54261,                0.35122,                0.37758,                0.16376,                 1.8977,                 1.9048,                 1.6059,             0.00066566,             0.00066566,             0.00066566
                      2,                 1.9876,                 2.0622,                 1.6063,                0.51795,                0.33786,                0.35433,                0.14728,                  1.973,                 1.9684,                 1.6577,              0.0013059,              0.0013059,              0.0013059
                      3,                 1.9823,                 2.0002,                 1.6152,                0.55206,                0.36624,                 0.3968,                0.16986,                 1.9326,                 1.9523,                 1.5534,              0.0019198,              0.0019198,              0.0019198
                      4,                 1.9568,                 1.9272,                 1.5917,                0.59478,                0.39843,                  0.442,                0.19437,                  1.871,                 1.7185,                 1.5655,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.9111,                 1.8511,                 1.5636,                0.59975,                0.40057,                0.44379,                0.19855,                 1.8754,                 1.6923,                 1.5286,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.8847,                 1.7873,                   1.54,                0.66331,                 0.4454,                0.50062,                0.22511,                 1.8314,                 1.5822,                 1.5142,               0.001802,               0.001802,               0.001802
                      7,                 1.8658,                 1.7552,                 1.5292,                0.65306,                0.46853,                  0.518,                 0.2387,                 1.8058,                  1.517,                 1.4878,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.8477,                 1.7047,                 1.5181,                0.65547,                0.47759,                 0.5184,                0.24118,                  1.803,                 1.5119,                 1.5016,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.8399,                 1.6897,                   1.51,                0.68435,                0.46638,                0.52977,                0.24917,                 1.7735,                 1.4774,                 1.4592,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.8225,                   1.66,                 1.4965,                0.69155,                 0.4752,                0.53708,                0.25081,                 1.7706,                 1.4584,                 1.4727,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.8129,                 1.6166,                 1.4836,                0.69778,                0.48641,                 0.5502,                0.25857,                 1.7759,                 1.4299,                 1.4765,               0.001604,               0.001604,               0.001604
                     12,                 1.7909,                 1.5956,                 1.4797,                0.71451,                0.48402,                0.55062,                0.26215,                 1.7761,                 1.4245,                 1.4576,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.7724,                 1.5729,                 1.4683,                0.70752,                 0.4897,                0.56782,                0.27247,                 1.7518,                 1.3889,                 1.4667,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.7723,                 1.5482,                 1.4686,                 0.7019,                0.51483,                0.57719,                0.27433,                  1.737,                 1.3566,                 1.4414,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.7571,                 1.5293,                 1.4583,                 0.7233,                0.50334,                0.57221,                0.27426,                 1.7271,                 1.3527,                 1.4354,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.7498,                 1.5006,                 1.4466,                0.71472,                0.51502,                0.57952,                0.27958,                 1.7214,                 1.3601,                 1.4304,               0.001406,               0.001406,               0.001406
                     17,                 1.7399,                 1.4943,                   1.44,                0.72286,                0.52551,                0.58505,                 0.2804,                  1.732,                 1.3372,                  1.436,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.7347,                 1.4774,                 1.4378,                0.70819,                0.53672,                0.59083,                0.29019,                 1.7022,                 1.3106,                  1.418,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.7229,                 1.4572,                 1.4242,                0.72349,                0.51656,                0.58731,                0.28335,                 1.7148,                 1.3334,                 1.4096,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.7191,                 1.4365,                 1.4187,                0.73661,                0.53412,                0.60463,                0.29582,                 1.6979,                 1.2872,                 1.4065,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.7104,                 1.4207,                 1.4134,                0.72339,                0.54268,                0.60425,                0.29515,                  1.688,                 1.2752,                  1.398,               0.001208,               0.001208,               0.001208
                     22,                 1.6942,                 1.3927,                 1.4076,                0.74467,                  0.536,                0.60711,                0.29423,                 1.6991,                 1.2611,                 1.4122,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.6892,                 1.3914,                 1.4071,                0.73765,                0.54459,                0.60774,                0.29774,                 1.6834,                 1.2549,                 1.3992,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.6861,                 1.3677,                 1.4016,                 0.7621,                 0.5372,                0.61132,                0.29966,                 1.6823,                 1.2484,                 1.3979,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.6757,                  1.355,                 1.4025,                  0.752,                0.55055,                0.61657,                0.30328,                 1.6863,                 1.2304,                 1.3928,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.6807,                 1.3514,                 1.3908,                0.75069,                0.55281,                0.61754,                0.30476,                 1.6641,                 1.2237,                 1.3817,                0.00101,                0.00101,                0.00101
                     27,                 1.6682,                 1.3418,                 1.3861,                  0.776,                0.55011,                0.62686,                0.30677,                 1.6769,                 1.2149,                 1.3914,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.6537,                 1.3184,                 1.3823,                0.75711,                 0.5577,                0.62754,                0.31047,                 1.6773,                 1.1989,                 1.3933,              0.0009308,              0.0009308,              0.0009308
                     29,                  1.648,                 1.3029,                 1.3731,                0.76888,                0.55651,                0.62824,                0.31026,                 1.6757,                 1.2122,                 1.3928,              0.0008912,              0.0008912,              0.0008912
                     30,                 1.6499,                  1.299,                 1.3716,                0.76898,                0.55055,                0.63063,                0.31065,                 1.6729,                 1.2068,                 1.3895,              0.0008516,              0.0008516,              0.0008516
